7266.47,5612.7,-605.4,19694.9,-139.63,3557.55
7361.51,5351.81,-740.93,20066.26,84.38,3784.15
6187.95,5424.9,-638.67,19804.65,-678.67,4060.16
3301.79,5568.23,-564.64,19378.58,-1356.76,4265.48
1176.32,5200.94,-424.16,19330.15,-1299.01,4636.26
3045.72,5314.61,-427.55,19414.88,-777.63,5311.8
4675.01,5555.88,-665.02,19578.95,-1116.21,5702.25
5749.3,5924.87,-823.07,20157.28,-2385.25,6441.21
6224.92,5228.23,-860.04,20840.85,-2252.79,7633.86
6459.99,5684.01,-857.81,21434.35,-1881.66,8326.89
6220.01,7111.5,-753.9,21602.61,-2291.06,8191.76
5152.77,5977.05,-751.41,21901.18,-2827.6,7042.06
3115.34,5993.46,-986.39,21533.97,-2802.31,7356.29
546,7153.11,-1500.76,21322.9,-3068.82,8141.72
939.92,7809.75,-1653.59,21285.17,-3707.13,8857.72
2774.35,7693.97,-1895.62,21378.46,-4872.53,8816.2
4226.82,7473.04,-1940.89,21952.69,-5567.97,8378.93
4739.81,7749.94,-1767.81,22016.11,-5571.36,8087.76
4658.55,8386.47,-1728.74,22373.24,-5760.18,7966.28
4656.37,8166.25,-1904.85,22659.32,-6290.21,9395.55
5062.02,8291.92,-1935.62,22879.58,-6505.12,10218.45
4611.33,8179.63,-2178.59,23821.91,-7014.77,10545.21
4481.64,7721.13,-2471,24264.84,-7744.86,10606.17
5063.85,7537.97,-2405.31,24058.9,-7884.85,10794.46
5571.45,7715.51,-2230.18,24407.42,-8236.85,11183.96
5928.08,7790.08,-1992.22,24219.4,-8018.23,11295.23
6039.22,7946.48,-1860.61,24312.52,-8072.11,11369.04
5752.6,8385.31,-2210.61,24375.8,-8359.13,12013.33
5639.23,9186,-2556.14,24538.84,-8425.04,12197.02
5154.56,8479.81,-2923.35,24994.89,-8651.24,12193.41
4836.94,7707.26,-3190.44,25321.87,-9148.58,12117.55
5453.71,8363.63,-3229.32,25323.25,-9422.36,12125.67
6289.72,9406.12,-2910.55,24739.57,-9733.11,12073
6851.1,8307.09,-2685.07,24363.58,-9762.49,12329.38
7189.36,8007.53,-2382.84,24309.57,-9785.15,12629.07
7134.78,9380.79,-2569.3,24005.16,-9907.97,13525.42
6690.64,9675.89,-3127.82,24211.95,-9890.93,14290.56
6006.35,9295.17,-3051.56,24180.55,-10432.78,14744.28
4995.53,9025.63,-3065.12,23646.96,-10612.5,14902.29
3935.82,9130.21,-2911.44,23654.98,-10156.91,15048.21
3667.22,9387.93,-2609.57,23398.06,-10091.04,15322.03
4283.45,9075.04,-2375.75,23404.66,-10154.99,15831.77
5010.06,8855,-2446.21,22901.08,-9968.22,16309.44
5389.13,8900.76,-2596.23,22296.98,-9754.51,17601.45
5500.76,8729.82,-2722.53,22234.5,-9995.82,17892.35
4750.82,8944.1,-2851.99,21953.05,-10360.94,18122.79
3846.9,8909.5,-2725.56,21790.18,-10179.38,18207.03
2518.72,8948.65,-2714.86,21761.95,-10536.11,18075.2
1665.37,9016.22,-2623.21,21672,-10457.08,18396.12
1408.05,8867.26,-2687.43,21710.17,-10314.29,19031.39
1775.21,10176.35,-2724.63,21539.59,-10116.72,19786.77
2520.82,9415.04,-2776.27,21660.09,-9932.5,20818.15
3196.5,9153.66,-2585.08,20908.78,-10245.52,21083.73
2834.82,10509.62,-2559.75,20280.14,-10321.82,21017.9
1771.6,11003.93,-2624.24,20069.02,-9907.75,20604.22
1235.32,9572.87,-2530.27,19719.96,-9111.61,20554.5
1133.29,9096,-2328.79,19555.36,-8922.3,20420.09
944.96,10065.26,-2273.58,19376.62,-8362.12,20456.48
692.5,11108.51,-2110.04,19619,-8069.56,20351.18
584.13,10810.83,-2059.25,19785.34,-7978.81,19080.72
654.54,10741.92,-1995.25,19449.67,-7987.51,17985.52
1687.4,11036.66,-1657.65,19434.5,-7756.72,16853.88
1583.4,11100.12,-1445.95,18785.71,-7602.86,15887.52
1192.73,10586.73,-1353.1,18066.9,-7480.27,15341.03
1030.58,10443.3,-1413.4,17663.97,-7203.86,14849.8
990.04,10297.07,-1340.08,17183.58,-6767.75,14414.4
1333.7,9830.73,-1706.93,16666.57,-6353.13,14063.88
2091.49,10003.09,-1520.12,16046.1,-6496.82,12807.59
